コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2024/03,160720000000,58860000000,52354000000,42176000000,30340000000,28975000000,4965.35,36.7
130A,2023/12,1655531000,1575639000,1575639000,33048000,-,-,286.41,95.2
1332,2024/03,606384000000,257304000000,206745000000,154715000000,96680000000,109729000000,801.7,41.1
1333,2024/03,671801000000,245480000000,178870000000,123113000000,167509000000,98841000000,4112.64,30.8
1352,2022/03,41116000000,8842000000,7804000000,4100000000,2300000000,17138000000,936.39,19.1
135A,2024/02,1449901000,997040000,997040000,409472000,-,21940000,98.62,68.8
1375,2024/03,38004000000,11520000000,11454000000,17413000000,-,16857000000,287.11,30.1
1376,2024/05,48682522000,24441871000,23104608000,20541739000,-,-,2163.02,50.2
1377,2024/05,192717000000,160533000000,139045000000,121965000000,2559000000,1077000000,3650.69,83.1
1379,2024/03,103505000000,54824000000,52397000000,44194000000,12084000000,15118000000,1728.15,53
137A,2024/05,792194000,662776000,662776000,218892000,-,-,227.09,83.7
1380,2024/03,7050478000,2187079000,2136702000,874992000,1365928000,1858069000,523.57,31
1381,2024/06,24451000000,20723000000,20230000000,19352000000,-,-,3690,84.8
1382,2024/06,1123000000,769000000,769645000,237997000,-,4016000,1010.45,68.5
1383,2023/10,5672245000,2082324000,2036531000,739022000,600000000,1127571000,1273.11,35.9
1384,2024/03,17764000000,12318000000,12123000000,10314000000,-,1428000000,1456.21,69.3
138A,2023/11,1764590000,363887000,363887000,343887000,-,825082000,541.5,20.6
1400,2023/12,3184986000,2637992000,2268339000,-789479000,2600000,83314000,193.32,79
1401,2024/05,4408320000,3472954000,3440775000,2861190000,-,-,471.97,78.8
1407,2024/08,125897000000,33399000000,33090000000,36350000000,18612000000,56553000000,837.88,26.4
1414,2024/06,130141000000,104425000000,100330000000,73088000000,-,-,1981.14,79.2
1417,2024/03,519960000000,260088000000,239832000000,190849000000,75148000000,31003000000,2735.89,48.5
1418,2024/02,8135330000,3637505000,3652032000,832709000,450000000,867308000,234.45,44.7
1419,2024/05,89587000000,38327000000,38398000000,31259000000,5963000000,1966000000,1321.09,42.7
141A,2024/06,283627000000,118187000000,114443000000,71952000000,-,12195000000,948.63,40.8
1420,2024/03,46406595000,14905038000,14920739000,6395423000,4678000000,5821000000,1338.62,32.1
1429,2023/12,20392151000,9304646000,9304273000,7523317000,2400000000,-,296.25,45.6
142A,2024/03,2179309000,486090000,486090000,-62209000,-,272851000,348.08,22.3
1430,2024/05,23717601000,8468076000,8464766000,8037300000,1500000000,2154443000,708.48,35.7
1431,2024/06,11741000000,4570000000,4570600000,2271032000,2446450000,1379309000,194.2,38.9
1433,2024/01,10879242000,4095265000,4537426000,3091398000,2100000000,1540244000,461.31,37.6
1434,2024/08,17734000000,6746000000,6558241000,4269395000,1595096000,3755930000,958.88,37.4
1435,2023/12,12019376000,8594173000,8565728000,1395244000,427500000,218730000,95.58,71.5
1436,2024/04,12122962000,5033018000,5032810000,3277405000,354700000,3135884000,1234.79,41.5
1438,2023/09,4695863000,3526542000,3476098000,2741407000,200000000,5290000,1100.08,75.1
1439,2023/12,4356318000,1830095000,1748858000,1261183000,125000000,573535000,1322.83,40.2
143A,2024/03,1999650000,1486639000,919599000,673135000,-,-,514.39,47.3
1443,2024/03,17228542000,11064790000,10108762000,7515762000,-,3208025000,681.55,64.2
1444,2024/07,2767000000,1501000000,1507334000,908365000,600000000,130618000,1379.9,54.2
1446,2023/09,6225228000,2706086000,2706086000,637069000,300000000,727517000,293.98,43.5
1447,2024/03,18051775000,3120698000,3019849000,-1881601000,6922409000,2305286000,118.42,16
1449,2023/12,687842000,269222000,269222000,183374000,50000000,196040000,126.4,39.1
1450,2024/03,9119386000,6990170000,6908649000,6363024000,-,-,1607.14,76.7
1451,2024/03,15025464000,6395081000,6394726000,4937079000,200000000,3086267000,1601.84,42.6
145A,2023/12,1320628000,636232000,636232000,-937437000,30000000,483750000,153.12,48.2
146A,2023/12,32001000000,7140000000,7140000000,7034000000,3251000000,15296000000,2856,22.3
147A,2024/03,10917376000,8404441000,8039420000,502341000,-,-,190.76,75.5
148A,2023/12,1838204000,251520000,251520000,-956351000,100000000,231890000,147.27,13.7
1491,2024/03,12135201000,7107645000,7107645000,940237000,1226000000,730438000,24.66,58.6
149A,2023/12,536751000,391938000,391938000,-119686000,-,21875000,145.58,73
150A,2024/03,2539631000,1834631000,1834631000,-432110000,-,64288000,334.63,72.2
1514,2024/03,31137000000,26989000000,26342000000,24346000000,43000000,-,524.68,86.7
1515,2024/03,229577000000,150722000000,116008000000,109759000000,17076000000,2514000000,8460.82,61.3
1518,2024/03,99740000000,64023000000,60324000000,52653000000,3177000000,4377000000,5322.43,63.6
151A,2024/06,4314000000,1895000000,1895315000,1274159000,30000000,193476000,685.47,43.9
153A,2023/12,1178698000,451657000,451657000,396657000,51000000,250000000,79.15,38.3
155A,2023/12,1837854000,713885000,713489000,663489000,150000000,173768000,83.94,38.8
156A,2024/08,3260000000,2025000000,2024173000,1679024000,-,152098000,207.87,62.1
157A,2024/06,1850000000,1472000000,1472043000,902693000,-,50794000,461.46,79.6
1605,2023/12,6739476000000,4499033000000,4209101000000,2746530000000,161059000000,895923000000,4172.53,62.5
160A,2024/03,15952381000,2380026000,2380026000,2174426000,485068000,3486410000,785.49,14.9
1662,2024/03,660928000000,537574000000,404040000000,397846000000,-,-,9532.44,76.2
1663,2023/12,111445000000,92929000000,88761000000,68025000000,357000000,569000000,3386.38,80.9
168A,2024/01,2526843000,421087000,421087000,218087000,-,1251664000,401.04,16.7
1711,2024/03,3790177000,782876000,666529000,-3669982000,1377400000,1095974000,67.86,17.6
1712,2024/02,27351000000,17674000000,16215000000,11873000000,1500000000,3143000000,976.81,59.9
1716,2024/06,21858000000,18285000000,18170577000,17468245000,-,191807000,1607.04,83.1
1717,2024/03,7323942000,5084944000,5065984000,4471485000,-,-,436.77,69.2
1718,2023/12,30118560000,17397618000,15193617000,13833967000,3150000000,1940809000,14026.2,50.9
1719,2024/03,334145000000,154470000000,141664000000,128575000000,16348000000,7249000000,980.49,46
1720,2024/03,264525000000,100789000000,92672000000,73553000000,33207000000,21521000000,947.38,37.8
1721,2024/03,514647000000,368055000000,354364000000,300918000000,3984000000,70000000,3031.92,70.3
1723,2024/03,46021000000,34460000000,33162000000,32969000000,-,-,4329.35,74.9
1724,2023/12,10686000000,5683000000,5535000000,3920000000,100000000,400000000,1224.14,53.2
1726,2024/03,42351000000,14448000000,14188000000,8719000000,11500000000,3366000000,321.32,33.9
1730,2024/03,2980227000,986536000,972710000,584683000,-,697634000,288.99,33.1
1734,2023/03,7415354000,-2638814000,-2695122000,-4192781000,5100000000,-,-4184.24,-35.6
1736,2024/03,31797724000,20255716000,18610015000,17970923000,1424564000,84018000,3870.02,62.2
1738,2024/03,7598170000,4297111000,4251923000,3921922000,510000000,595010000,1060.2,56.6
1739,2023/06,29055255000,8534674000,8534674000,7813552000,6375510000,7996898000,1402.27,29.4
173A,2024/03,5570964000,2160731000,2064434000,1951604000,-,-,519.9,38.8
1743,2023/09,11899041000,8398452000,8216279000,5624410000,-,-,3692.71,70.6
1757,2024/03,1265496000,222338000,205688000,-14960930000,203000000,650000000,0.74,16.3
1758,2024/01,11640346000,8715153000,8187410000,8020792000,-,111112000,4381.32,74.9
175A,2024/03,775596000,312420000,311716000,-260227000,299500000,10370000,250.58,40.2
1762,2024/03,245149000000,134069000000,133619000000,127822000000,6000000000,-,3849.21,54.7
1764,2024/06,15528000000,4857000000,4749929000,3505005000,1630000000,1126897000,3909.62,31.3
1766,2023/04,198449000000,115290000000,115132000000,110519000000,-,-,8575.53,58.1
1768,2024/03,11617000000,8709000000,8401783000,7321266000,-,-,1192.22,75
176A,2024/06,17519000000,8331000000,8301887000,6701192000,-,2241706000,444.82,47.4
1770,2024/03,33218092000,17778346000,17110590000,16461166000,855000000,-,1941.07,53.5
1771,2023/09,13438990000,8607916000,8283342000,7227858000,115200000,329600000,1736.45,64.1
1775,2024/03,81009000000,42172000000,40375000000,31817000000,75000000,-,4614.73,51.2
1776,2024/03,27694000000,13653000000,13470000000,10630000000,-,-,1486.55,49.3
1777,2024/03,20326000000,11630000000,11553000000,9585000000,-,-,971.99,57.2
177A,2024/03,6589322000,3342393000,3281083000,2528621000,1500000000,525000000,802.5,50.7
1780,2024/03,31981657000,20477399000,19524294000,15471358000,-,-,1081.9,64
1783,2023/09,7546020000,6401948000,6323306000,-4962911000,-,3772000,37.19,83.8
1786,2024/03,72923000000,49962000000,48901000000,42538000000,600000000,2538000000,377.11,68.5
